timestamp,device_id,name,T_i,H_i,T_e,H_e,ble_sps_T,ble_sps_H,ble_tb2_T,ble_tb2_H,light,exhaust,circulation
1777428307.118277,E697B52A-2E7F-D41E-BC4D-2D027CB38D0B,LGS_Sensor_New,19.94,64.2,19.93,63.22,20.41,64.32,19.75,63.4375,0,27,93
1777428307.118277,827482CC-A977-43D7-835E-8E8B6978E66A,LGS_Sensor,,,,,20.41,64.32,19.75,63.4375,49,60,28
1777428307.118277,FABCEA8B-7EC8-2594-4879-2B3B63989660,ThermoBeacon2,,,,,,,,,,,
1777428307.118277,E82776C8-C1D0-6A0D-2010-D5E80EFD3B21,TP351S (987A),,,,,,,,,,,
1777428307.118277,C898B4F2-B452-7502-1A67-0536E77D49EA,sps,,,,,,,,,,,
1777428307.118206,E697B52A-2E7F-D41E-BC4D-2D027CB38D0B,LGS_Sensor_New,19.94,64.2,19.93,63.22,20.41,64.32,19.75,63.4375,0,27,93
1777428307.118206,827482CC-A977-43D7-835E-8E8B6978E66A,LGS_Sensor,,,,,20.41,64.32,19.75,63.4375,49,60,28
1777428307.118206,FABCEA8B-7EC8-2594-4879-2B3B63989660,ThermoBeacon2,,,,,,,,,,,
1777428307.118206,E82776C8-C1D0-6A0D-2010-D5E80EFD3B21,TP351S (987A),,,,,,,,,,,
1777428307.118206,C898B4F2-B452-7502-1A67-0536E77D49EA,sps,,,,,,,,,,,
1777428367.182782,E697B52A-2E7F-D41E-BC4D-2D027CB38D0B,LGS_Sensor_New,19.97,64.23,19.96,63.22,20.22,64.11,19.75,63.4375,0,27,37
1777428367.182782,827482CC-A977-43D7-835E-8E8B6978E66A,LGS_Sensor,,,,,20.22,64.11,19.75,63.4375,49,60,52
1777428367.182782,FABCEA8B-7EC8-2594-4879-2B3B63989660,ThermoBeacon2,,,,,,,,,,,
1777428367.182782,E82776C8-C1D0-6A0D-2010-D5E80EFD3B21,TP351S (987A),,,,,,,,,,,
1777428367.182782,C898B4F2-B452-7502-1A67-0536E77D49EA,sps,,,,,,,,,,,
1777428427.218931,E697B52A-2E7F-D41E-BC4D-2D027CB38D0B,LGS_Sensor_New,19.97,64.18,19.96,63.24,20.16,64.19,19.75,63.4375,0,27,15
1777428427.218931,827482CC-A977-43D7-835E-8E8B6978E66A,LGS_Sensor,,,,,20.16,64.19,19.75,63.4375,50,60,70
1777428427.218931,FABCEA8B-7EC8-2594-4879-2B3B63989660,ThermoBeacon2,,,,,,,,,,,
1777428427.218931,E82776C8-C1D0-6A0D-2010-D5E80EFD3B21,TP351S (987A),,,,,,,,,,,
1777428427.218931,C898B4F2-B452-7502-1A67-0536E77D49EA,sps,,,,,,,,,,,
1777428487.230668,E697B52A-2E7F-D41E-BC4D-2D027CB38D0B,LGS_Sensor_New,19.96,64.17,19.94,63.16,20.09,64.14,19.75,63.375,0,27,39
1777428487.230668,827482CC-A977-43D7-835E-8E8B6978E66A,LGS_Sensor,,,,,20.22,64.14,19.75,63.375,50,60,60
1777428487.230668,FABCEA8B-7EC8-2594-4879-2B3B63989660,ThermoBeacon2,,,,,,,,,,,
1777428487.230668,E82776C8-C1D0-6A0D-2010-D5E80EFD3B21,TP351S (987A),,,,,,,,,,,
